21912: 2026-09-05 23:53:21,377 | INFO | vibe_learner.api | request.start id=2af7945b method=PATCH path=/study-sessions/session-5c6f98dd49 query=
21913: 2026-09-05 23:53:21,379 | INFO | vibe_learner.api | request.start id=20693936 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
21914: 2026-09-05 23:53:21,393 | INFO | vibe_learner.api | request.start id=a097cde2 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
21915: 2026-09-05 23:53:21,398 | INFO | vibe_learner.api | request.start id=6786a4d7 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
21916: 2026-09-05 23:53:21,400 | INFO | vibe_learner.api | request.end id=2af7945b method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=22
21918: 2026-09-05 23:53:21,400 | INFO | vibe_learner.api | request.start id=5acf3bcf method=PATCH path=/study-sessions/session-5c6f98dd49 query=
21921: 2026-09-05 23:53:21,406 | INFO | vibe_learner.api | request.end id=20693936 method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=27
21924: 2026-09-05 23:53:21,446 | INFO | vibe_learner.api | request.end id=a097cde2 method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=53
21927: 2026-09-05 23:53:21,463 | INFO | vibe_learner.api | request.end id=6786a4d7 method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=65
21930: 2026-09-05 23:53:21,477 | INFO | vibe_learner.api | request.end id=d2b16bf4 method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=76
111206: 2026-09-05 23:56:28,960 | INFO | vibe_learner.api | request.start id=9be609ad method=PATCH path=/study-sessions/session-5c6f98dd49 query=
111207: 2026-09-05 23:56:28,960 | INFO | vibe_learner.api | request.start id=73c33025 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
111208: 2026-09-05 23:56:28,960 | INFO | vibe_learner.api | request.start id=eef0d4a2 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
111209: 2026-09-05 23:56:28,960 | INFO | vibe_learner.api | request.start id=a2885e20 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
111210: 2026-09-05 23:56:28,961 | INFO | vibe_learner.api | request.start id=ec4a2830 method=PATCH path=/study-sessions/session-5c6f98dd49 query=
111270: 2026-09-05 23:56:29,117 | INFO | vibe_learner.api | request.end id=c689ad5c method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=157
111272: 2026-09-05 23:56:29,120 | INFO | vibe_learner.api | request.end id=508ef3ab method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=160
111275: 2026-09-05 23:56:29,124 | INFO | vibe_learner.api | request.end id=1d19d2f0 method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=171
111277: 2026-09-05 23:56:29,127 | INFO | vibe_learner.api | request.end id=11ff23d1 method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=173
111290: 2026-09-05 23:56:29,141 | INFO | vibe_learner.api | request.end id=e3ec573e method=PATCH path=/study-sessions/session-5c6f98dd49 status=200 duration_ms=189
